Reporting Period:,Lifetime
Report Type:,Account Performance
Grouped By:,6sense Accounts
Time of Report:,Tue Jun 16 2026 10:47:01 GMT-0600


Campaign ID,6sense Company Name,6sense Country,6sense Domain,Impressions,Clicks,Spend,Website Engagement,Latest Impression,Influenced Form Fills,Video Error,Video Start,Video Skip,Video 25% Complete,Video 50% Complete,Video 75% Complete,Video 100% Complete,Mid-points,Completions,Completion rate,Cost per completed view (CPCV)
324978,"Ocugen","United States","ocugen.com","4","0","$0.04",-,2026-06-14,"0","0","3","0","2","2","2","1","2","1","25.00%","$0.04"
323379,"Novartis","United States","novartis.com","3,227","0","$24.44",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Novartis","United States","novartis.com","524","0","$4.75",-,2026-06-15,"0","28","496","1","374","317","263","206","317","206","39.31%","$0.02"
323380,"Novartis","United States","novartis.com","2,798","1","$21.64",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Novartis","United States","novartis.com","799","3","$7.42",-,2026-06-15,"0","41","763","1","542","478","401","324","478","324","40.55%","$0.02"
324927,"Neurotech","United States","neurotechpharmaceuticals.com","13","0","$0.12",-,2026-06-14,"0","0","13","0","10","9","8","8","9","8","61.54%","$0.02"
323380,"Neurotech","United States","neurotechpharmaceuticals.com","62","0","$0.48",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Neurogene Inc.","United States","neurogene.com","92","0","$0.70",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Neurogene Inc.","United States","neurogene.com","4","0","$0.04",-,2026-06-15,"0","0","4","0","2","2","2","2","2","2","50.00%","$0.02"
323379,"Nanoscope Therapeutics","United States","nanostherapeutics.com","7","0","$0.05",-,2026-06-08,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"NS Pharma","United States","nspharma.com","115","0","$0.87",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"NS Pharma","United States","nspharma.com","2","0","$0.02",-,2026-06-13,"0","0","2","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Moderna","United States","modernatx.com","113","0","$1.02",-,2026-06-15,"0","3","108","0","78","66","56","40","66","40","35.40%","$0.03"
323379,"Moderna","United States","modernatx.com","506","1","$3.83",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Marker Therapeutics, Inc.","United States","markertherapeutics.com","12","0","$0.09",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Mallinckrodt Pharmaceuticals","United States","mallinckrodt.com","263","0","$2.03",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Mallinckrodt Pharmaceuticals","United States","mallinckrodt.com","51","0","$0.47",-,2026-06-15,"0","3","51","0","28","24","18","14","24","14","27.45%","$0.03"
324978,"Lyell Immunopharma","United States","lyell.com","5","0","$0.05",-,2026-06-15,"0","0","5","0","4","4","3","1","4","1","20.00%","$0.05"
323379,"Lyell Immunopharma","United States","lyell.com","189","0","$1.43",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Legend Biotech","United States","legendbiotech.com","267","0","$2.02",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Legend Biotech","United States","legendbiotech.com","34","0","$0.31",-,2026-06-15,"0","2","33","0","26","21","17","16","21","16","47.06%","$0.02"
323379,"Kyverna Therapeutics","United States","kyvernatx.com","95","0","$0.72",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Krystal Biotech, Inc.","United States","krystalbio.com","108","2","$0.84",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Krystal Biotech, Inc.","United States","krystalbio.com","98","0","$0.74",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Krystal Biotech, Inc.","United States","krystalbio.com","4","0","$0.04",-,2026-06-14,"0","0","4","0","1","1","0","0","1","0","0.00%","$0.00"
324927,"Krystal Biotech, Inc.","United States","krystalbio.com","6","0","$0.06",-,2026-06-15,"0","0","6","0","4","3","3","2","3","2","33.33%","$0.03"
324978,"Johnson & Johnson","United States","jnj.com","495","0","$4.49",Increased,2026-06-14,"0","30","473","0","321","272","219","178","272","178","35.96%","$0.03"
323380,"Johnson & Johnson","United States","jnj.com","3,706","1","$28.67",Increased,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Johnson & Johnson","United States","jnj.com","1,865","1","$17.32",Increased,2026-06-15,"0","166","1,805","3","1,222","1,047","816","659","1,047","659","35.34%","$0.03"
323379,"Johnson & Johnson","United States","jnj.com","4,262","0","$32.28",Increased,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Iovance Biotherapeutics, Inc.","United States","iovance.com","70","0","$0.54",-,2026-06-09,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Intellia Therapeutics, Inc.","United States","intelliatx.com","455","0","$3.45",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324978,"Intellia Therapeutics, Inc.","United States","intelliatx.com","10","0","$0.09",-,2026-06-15,"0","1","10","0","6","5","3","3","5","3","30.00%","$0.03"
323379,"Imunon, Inc.","United States","imunon.com","12","0","$0.09",-,2026-06-10,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"ImmunityBio, Inc.","United States","immunitybio.com","219","0","$1.66",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Immatics","United States","immatics.com","59","0","$0.45",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Humacyte","United States","humacyte.com","9","0","$0.08",-,2026-06-15,"0","0","7","0","6","6","6","6","6","6","66.67%","$0.01"
323380,"Humacyte","United States","humacyte.com","165","0","$1.28",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Hope Biosciences","United States","hope.bio","1","0","$0.01",-,2026-06-12,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Gradalis","United States","gradalisinc.com","58","0","$0.44",-,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Grace Science, LLC","United States","gracescience.com","2","0","$0.02",-,2026-06-08,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323379,"Gilead Sciences","United States","gilead.com","1,437","3","$10.88",Increased,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
323380,"Gilead Sciences","United States","gilead.com","1,270","2","$9.82",Increased,2026-06-15,"0","0","0","0","0","0","0","0","0","0","0.00%","$0.00"
324927,"Gilead Sciences","United States","gilead.com","225","1","$2.09",-,2026-06-15,"0","6","211","0","153","128","95","76","128","76","33.78%","$0.03"
324978,"Gilead Sciences","United States","gilead.com","148","0","$1.34",-,2026-06-15,"0","12","142","0","110","95","66","50","95","50","33.78%","$0.03"
